,date,ticker,document,Industry
0,4/29/21,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5851, 'features': 2}, 'sentiment': {'document': {'score': -0.853331, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.571522, 'joy': 0.085712, 'fear': 0.170525, 'disgust': 0.029309, 'anger': 0.095593}}}}",Tech
1,7/31/20,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5593, 'features': 2}, 'sentiment': {'document': {'score': -0.991665, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.620695, 'joy': 0.041666, 'fear': 0.186573, 'disgust': 0.029744, 'anger': 0.09331}}}}",Tech
2,5/1/20,AAPL,"{'usage': {'text_units': 1, 'text_characters': 7283, 'features': 2}, 'sentiment': {'document': {'score': -0.733907, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.685394, 'joy': 0.054257, 'fear': 0.124109, 'disgust': 0.034296, 'anger': 0.114164}}}}",Tech
3,7/31/19,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14330, 'features': 2}, 'sentiment': {'document': {'score': -0.965563, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.876346, 'joy': 0.002704, 'fear': 0.160042, 'disgust': 0.066097, 'anger': 0.134327}}}}",Tech
4,5/1/19,AAPL,"{'usage': {'text_units': 2, 'text_characters': 15593, 'features': 2}, 'sentiment': {'document': {'score': -0.733907, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.876969, 'joy': 0.002659, 'fear': 0.163147, 'disgust': 0.066599, 'anger': 0.129184}}}}",Tech
5,1/30/19,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14137, 'features': 2}, 'sentiment': {'document': {'score': -0.989518, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.867807, 'joy': 0.003151, 'fear': 0.167546, 'disgust': 0.064702, 'anger': 0.142119}}}}",Tech
6,8/1/18,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14635, 'features': 2}, 'sentiment': {'document': {'score': -0.988817, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.865978, 'joy': 0.004509, 'fear': 0.18241, 'disgust': 0.058933, 'anger': 0.126982}}}}",Tech
7,5/2/18,AAPL,"{'usage': {'text_units': 2, 'text_characters': 14564, 'features': 2}, 'sentiment': {'document': {'score': -0.967848, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.848584, 'joy': 0.007707, 'fear': 0.198619, 'disgust': 0.058714, 'anger': 0.12154}}}}",Tech
8,1/29/20,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5207, 'features': 2}, 'sentiment': {'document': {'score': -0.986224, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.616957, 'joy': 0.055932, 'fear': 0.18986, 'disgust': 0.035464, 'anger': 0.117867}}}}",Tech
9,1/28/21,AAPL,"{'usage': {'text_units': 1, 'text_characters': 5128, 'features': 2}, 'sentiment': {'document': {'score': -0.980403, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.597994, 'joy': 0.070628, 'fear': 0.17231, 'disgust': 0.03117, 'anger': 0.12529}}}}",Tech
10,4/27/21,MSFT,"{'usage': {'text_units': 2, 'text_characters': 19465, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.719739, 'joy': 0.005973, 'fear': 0.306799, 'disgust': 0.111275, 'anger': 0.17208}}}}",Tech
11,1/26/21,MSFT,"{'usage': {'text_units': 2, 'text_characters': 17548, 'features': 2}, 'sentiment': {'document': {'score': 0.746606, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.729756, 'joy': 0.005577, 'fear': 0.286934, 'disgust': 0.106409, 'anger': 0.186567}}}}",Tech
12,10/27/20,MSFT,"{'usage': {'text_units': 2, 'text_characters': 16509, 'features': 2}, 'sentiment': {'document': {'score': 0.488115, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.726939, 'joy': 0.005042, 'fear': 0.287238, 'disgust': 0.107749, 'anger': 0.190026}}}}",Tech
13,1/29/20,MSFT,"{'usage': {'text_units': 2, 'text_characters': 16499, 'features': 2}, 'sentiment': {'document': {'score': -0.938229, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.688712, 'joy': 0.004542, 'fear': 0.298475, 'disgust': 0.125708, 'anger': 0.213779}}}}",Tech
14,10/23/19,MSFT,"{'usage': {'text_units': 2, 'text_characters': 15531, 'features': 2}, 'sentiment': {'document': {'score': -0.849921, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.694245, 'joy': 0.004511, 'fear': 0.293803, 'disgust': 0.11706, 'anger': 0.221006}}}}",Tech
15,1/30/19,MSFT,"{'usage': {'text_units': 2, 'text_characters': 17039, 'features': 2}, 'sentiment': {'document': {'score': -0.98749, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.666529, 'joy': 0.007285, 'fear': 0.302132, 'disgust': 0.138384, 'anger': 0.219667}}}}",Tech
16,4/26/18,MSFT,"{'usage': {'text_units': 2, 'text_characters': 18794, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.658238, 'joy': 0.009441, 'fear': 0.340574, 'disgust': 0.123923, 'anger': 0.19304}}}}",Tech
17,10/24/18,MSFT,"{'usage': {'text_units': 2, 'text_characters': 16129, 'features': 2}, 'sentiment': {'document': {'score': -0.96301, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.667409, 'joy': 0.005767, 'fear': 0.305907, 'disgust': 0.136796, 'anger': 0.219461}}}}",Tech
18,4/29/20,MSFT,"{'usage': {'text_units': 2, 'text_characters': 18160, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.694315, 'joy': 0.004411, 'fear': 0.296578, 'disgust': 0.121418, 'anger': 0.213558}}}}",Tech
19,4/24/19,MSFT,"{'usage': {'text_units': 2, 'text_characters': 18097, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.664854, 'joy': 0.006696, 'fear': 0.305344, 'disgust': 0.141368, 'anger': 0.216371}}}}",Tech
20,4/30/21,AMZN,"{'usage': {'text_units': 2, 'text_characters': 13978, 'features': 2}, 'sentiment': {'document': {'score': -0.835189, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.835924, 'joy': 0.003735, 'fear': 0.197929, 'disgust': 0.074173, 'anger': 0.140059}}}}",Tech
21,10/30/20,AMZN,"{'usage': {'text_units': 2, 'text_characters': 13759, 'features': 2}, 'sentiment': {'document': {'score': -0.698376, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.834312, 'joy': 0.003643, 'fear': 0.188667, 'disgust': 0.072843, 'anger': 0.153347}}}}",Tech
22,7/31/20,AMZN,"{'usage': {'text_units': 2, 'text_characters': 14550, 'features': 2}, 'sentiment': {'document': {'score': -0.698376, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.817145, 'joy': 0.003155, 'fear': 0.186622, 'disgust': 0.078257, 'anger': 0.184224}}}}",Tech
23,5/1/20,AMZN,"{'usage': {'text_units': 2, 'text_characters': 15011, 'features': 2}, 'sentiment': {'document': {'score': -0.634134, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.804161, 'joy': 0.002563, 'fear': 0.219567, 'disgust': 0.077316, 'anger': 0.171567}}}}",Tech
24,10/25/19,AMZN,"{'usage': {'text_units': 2, 'text_characters': 13375, 'features': 2}, 'sentiment': {'document': {'score': -0.818233, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.830462, 'joy': 0.003236, 'fear': 0.220285, 'disgust': 0.072599, 'anger': 0.129011}}}}",Tech
25,7/26/19,AMZN,"{'usage': {'text_units': 2, 'text_characters': 13780, 'features': 2}, 'sentiment': {'document': {'score': -0.818233, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.814171, 'joy': 0.002403, 'fear': 0.179519, 'disgust': 0.081774, 'anger': 0.194589}}}}",Tech
26,4/26/19,AMZN,"{'usage': {'text_units': 2, 'text_characters': 14582, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.7988, 'joy': 0.002696, 'fear': 0.156711, 'disgust': 0.089002, 'anger': 0.23251}}}}",Tech
